# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  1.090501e+01  2.494397e+02  1.090501e+01
  1    0  odd      20000  1.485477e-02  9.648960e-04  1.105734e+01
  2    1  even     20000  1.773774e-01  6.289297e-01  1.107574e+01
  3    1  odd      20000  1.528017e-04  1.532526e-03  1.123268e+01
  4    2  even     20000  9.890188e-02  1.561370e-01  1.119241e+01
  5    2  odd      20000  1.815571e-04  1.483260e-03  1.131374e+01
  6    3  even     20000  6.120778e-02  5.738965e-02  1.136942e+01
  7    3  odd      20000  4.649893e-04  1.532304e-03  1.124660e+01
  8    4  even     20000  2.903871e-02  1.441141e-02  1.127664e+01
  9    4  odd      20000  -1.056729e-04  1.501110e-03  1.121418e+01
 10    5  even     20000  1.605112e-02  4.997718e-03  1.161440e+01
 11    5  odd      20000  3.330758e-04  1.444259e-03  1.128888e+01
 12    6  even     20000  7.731164e-03  9.211586e-04  1.123446e+01
 13    6  odd      20000  1.985838e-04  1.809041e-03  1.149840e+01
 14    7  even     20000  3.843331e-03  2.255352e-04  1.121094e+01
 15    7  odd      20000  -7.918664e-05  4.599104e-04  1.121999e+01
 16    8  even     20000  1.907084e-03  5.679551e-05  1.135799e+01
 17    8  odd      20000  5.953603e-05  1.146111e-04  1.148206e+01
 18    9  even     20000  9.501365e-04  1.377489e-05  1.113381e+01
 19    9  odd      20000  -1.028287e-05  2.840571e-05  1.144758e+01
 20   10  even     20000  5.176581e-04  3.677095e-06  1.148160e+01
 21   10  odd      20000  1.645376e-05  7.103234e-06  1.125459e+01
  0    0  even       200  1.072669e+01  2.295862e+02  1.072669e+01
  1    0  odd        200  1.128964e-02  8.310131e-04  9.872269e+00
  2    1  even       200  1.857806e-01  9.885240e-01  1.127072e+01
  3    1  odd        200  2.276146e-03  1.383046e-03  1.100668e+01
  4    2  even       200  1.251501e-01  1.648311e-01  1.167605e+01
  5    2  odd        200  1.962367e-04  1.097089e-03  1.164951e+01
  0    0  even    3551251  1.093428e+01  2.497692e+02  1.093428e+01
  1    0  odd       4578  1.380949e-02  9.554350e-04  1.076709e+01
  2    1  even    164583  1.744957e-01  5.900007e-01  1.109427e+01
  3    1  odd       4159  -2.001694e-04  1.542673e-03  1.116427e+01
  4    2  even     47380  1.037664e-01  1.745957e-01  1.110566e+01
  5    2  odd       2545  1.231326e-03  1.602272e-03  1.166654e+01
  0    0  even    233148  1.095322e+01  2.514659e+02  1.095322e+01
  1    0  odd        443  1.219255e-02  8.576589e-04  1.160235e+01
  3    1  odd        334  3.206186e-03  1.683124e-03  1.268929e+01
  4    2  even      2446  9.473839e-02  1.464112e-01  1.051965e+01
  5    2  odd        605  2.110498e-04  1.535865e-03  1.067556e+01
  0    0  even    144137  1.095957e+01  2.507164e+02  1.095957e+01
  1    0  odd        176  1.151701e-02  9.099964e-04  1.218023e+01
  3    1  odd        195  2.301497e-03  2.342023e-03  1.391298e+01
  4    2  even      1690  9.012755e-02  1.155023e-01  1.109415e+01
  5    2  odd        121  -5.651460e-03  1.326634e-03  1.030922e+01
  6    3  even     18631  6.053937e-02  4.971474e-02  1.148699e+01
  7    3  odd       1251  5.486603e-04  1.618819e-03  1.148208e+01
  0    0  even     23094  1.092556e+01  2.459172e+02  1.092556e+01
  1    0  odd         28  2.012865e-02  1.044211e-03  7.551403e+00
  3    1  odd         79  3.008575e-04  1.715485e-03  1.405694e+01
  4    2  even        17  9.441780e-02  1.135483e-01  7.361328e+00
  5    2  odd         13  2.226876e-02  1.581675e-03  1.088760e+01
  6    3  even      1076  5.088562e-02  4.964476e-02  1.071752e+01
  7    3  odd       1264  -1.814562e-03  1.421285e-03  1.142707e+01
  0    0  even    118099  1.098536e+01  2.503482e+02  1.098536e+01
  1    0  odd        165  1.236236e-02  7.727145e-04  1.063839e+01
  3    1  odd        152  -2.987768e-03  1.454968e-03  1.374213e+01
  4    2  even      1546  1.043295e-01  1.390498e-01  1.093675e+01
  5    2  odd        107  7.091743e-03  1.288655e-03  1.217089e+01
  6    3  even       590  6.791620e-02  3.903331e-02  1.173994e+01
  8    4  even      7312  2.864340e-02  1.433496e-02  1.091149e+01
  9    4  odd        905  -9.294242e-04  1.529632e-03  1.141613e+01
  0    0  even     27331  1.113451e+01  2.543419e+02  1.113451e+01
  1    0  odd         22  2.676329e-02  6.982434e-04  1.895407e+01
  3    1  odd         29  1.219377e-02  1.898572e-03  9.937021e+00
  4    2  even       210  1.155116e-01  2.073488e-01  1.121873e+01
  5    2  odd         16  8.208465e-03  8.558481e-04  5.218916e+00
  6    3  even        72  3.632779e-02  3.874323e-02  9.658920e+00
  7    3  odd         13  1.172897e-03  1.424270e-04  5.197910e+00
  8    4  even       447  2.380753e-02  1.296248e-02  1.057417e+01
  9    4  odd        887  1.708207e-04  1.347143e-03  1.186875e+01
  0    0  even    103849  1.103453e+01  2.549032e+02  1.103453e+01
  1    0  odd        142  9.585009e-03  8.248213e-04  1.090979e+01
  3    1  odd        134  6.233645e-03  1.442731e-03  1.203936e+01
  4    2  even      1376  1.047396e-01  5.206900e-01  1.128617e+01
  5    2  odd         87  -3.682122e-03  1.373380e-03  1.122569e+01
  6    3  even       508  7.126503e-02  6.618087e-02  1.118748e+01
  7    3  odd         57  -5.080240e-03  1.142170e-03  1.261261e+01
  8    4  even       174  3.690031e-02  1.679730e-02  1.007126e+01
 10    5  even      2858  1.709834e-02  4.809929e-03  1.122798e+01
 11    5  odd        643  -2.492856e-03  1.682720e-03  1.206455e+01
  0    0  even     53654  1.095566e+01  2.487060e+02  1.095566e+01
  1    0  odd         64  1.558824e-02  7.536809e-04  1.103090e+01
  3    1  odd         62  6.915041e-03  1.093136e-03  1.199697e+01
  4    2  even      2099  1.042860e-01  1.564054e-01  1.077073e+01
  5    2  odd         42  -8.656584e-03  2.264828e-03  1.236671e+01
  6    3  even       349  4.105270e-02  4.166967e-02  1.120376e+01
  7    3  odd         26  -8.144919e-04  1.332949e-03  1.168813e+01
  8    4  even       116  2.665342e-02  1.416217e-02  1.134537e+01
  9    4  odd         13  1.062860e-02  1.971089e-03  1.289644e+01
 10    5  even       441  1.577198e-02  4.631659e-03  1.222457e+01
 11    5  odd        737  1.830672e-03  1.498031e-03  1.076372e+01
  0    0  even    104956  1.089973e+01  2.476729e+02  1.089973e+01
  1    0  odd        138  1.294708e-02  9.723749e-04  1.113733e+01
  3    1  odd        123  1.891206e-03  1.524953e-03  1.144977e+01
  4    2  even      1270  1.051367e-01  1.567414e-01  1.149920e+01
  5    2  odd        104  -8.495927e-04  1.090459e-03  1.040247e+01
  6    3  even       497  4.581493e-02  4.764418e-02  1.022219e+01
  7    3  odd         63  -5.633857e-03  1.676122e-03  1.427316e+01
  8    4  even       198  4.143671e-02  1.299149e-02  1.176028e+01
  9    4  odd         48  2.295127e-04  2.265555e-03  8.619864e+00
 10    5  even        73  7.329235e-03  3.189902e-03  8.263444e+00
 12    6  even      1215  7.742451e-03  8.275874e-04  1.061499e+01
 13    6  odd        495  1.984675e-03  1.601506e-03  1.042596e+01
  0    0  even     54927  1.091461e+01  2.493681e+02  1.091461e+01
  1    0  odd         78  1.503872e-02  6.132613e-04  1.213940e+01
  3    1  odd         68  -1.241533e-03  1.475909e-03  1.339346e+01
  4    2  even       662  1.125320e-01  2.117082e-01  1.117493e+01
  5    2  odd         33  1.023061e-03  1.867632e-03  1.531671e+01
  6    3  even       267  5.366202e-02  3.875488e-02  1.005156e+01
  7    3  odd         38  -3.405777e-03  2.561862e-03  1.585731e+01
  8    4  even        96  2.043533e-02  9.043460e-03  1.090466e+01
  9    4  odd         37  7.256576e-06  1.528579e-03  9.088072e+00
 10    5  even        32  2.415085e-02  5.270079e-03  1.219295e+01
 11    5  odd         12  -6.537018e-03  1.650596e-03  1.962826e+01
 13    6  odd        493  1.818684e-03  1.913058e-03  1.231491e+01
  0    0  even      4452  1.094281e+01  2.472943e+02  1.094281e+01
  3    1  odd          3  -3.151364e-02  1.558895e-03  3.223232e+01
  4    2  even       124  8.582429e-02  1.030642e-01  1.005929e+01
  5    2  odd          8  -1.057389e-02  3.307056e-04  4.969504e+00
  7    3  odd         16  1.241906e-03  5.467660e-04  9.163716e+00
  9    4  odd          3  1.601203e-02  2.258678e-03  1.592227e+01
 10    5  even         5  3.566895e-02  5.089095e-03  1.067812e+01
 11    5  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
 13    6  odd         48  -6.072701e-03  9.227818e-04  8.252989e+00
  0    0  even    125638  1.091425e+01  2.493593e+02  1.091425e+01
  1    0  odd        165  1.651463e-02  1.239979e-03  1.199228e+01
  3    1  odd        159  7.307409e-05  1.881216e-03  1.205351e+01
  4    2  even      1651  1.032367e-01  1.808010e-01  1.142390e+01
  5    2  odd        107  7.760908e-03  1.850626e-03  1.522255e+01
  6    3  even       618  6.233526e-02  4.385204e-02  1.064477e+01
  7    3  odd         73  -4.403593e-03  1.326632e-03  1.161915e+01
  8    4  even       229  4.750614e-02  1.992069e-02  1.040582e+01
  9    4  odd         55  1.711933e-03  9.294086e-04  8.986470e+00
 10    5  even        97  3.677211e-03  3.629873e-03  9.220925e+00
 11    5  odd         40  -6.361029e-04  1.428038e-03  1.422716e+01
 13    6  odd         19  1.007314e-02  2.781769e-03  1.512428e+01
 14    7  even       251  3.053504e-03  2.124873e-04  9.662673e+00
 15    7  odd        362  -6.475446e-05  5.251081e-04  1.190489e+01
  1    0  odd         28  1.465017e-02  9.409106e-04  8.979138e+00
  3    1  odd         16  -9.241265e-03  4.658402e-04  1.057476e+01
  4    2  even        12  2.477519e-01  9.595028e-02  2.332747e+01
  5    2  odd         13  7.222140e-03  1.970278e-03  1.782872e+01
  8    4  even        48  1.238505e-03  6.845772e-03  8.258911e+00
 13    6  odd          6  6.114280e-03  1.324688e-03  9.222637e+00
 14    7  even        11  -5.733269e-04  1.760357e-04  5.742108e+00
 15    7  odd         50  -6.787030e-04  7.101480e-04  1.324167e+01
  0    0  even      1191  1.162535e+01  2.728305e+02  1.162535e+01
  1    0  odd          2  2.749793e-02  7.561360e-04  2.362988e+01
  4    2  even        16  1.857758e-02  6.043340e-02  7.884644e+00
  5    2  odd          3  8.452346e-03  1.428843e-04  1.895331e+01
 15    7  odd          9  -1.883674e-03  4.664417e-05  6.332169e+00
  0    0  even       200  1.135170e+01  2.641077e+02  1.135170e+01
  1    0  odd        200  1.402035e-02  8.501911e-04  1.056494e+01
  2    1  even       200  1.768732e-01  4.168220e-01  1.224012e+01
  3    1  odd        200  -1.514492e-03  1.564221e-03  1.246439e+01
  4    2  even       200  1.254413e-01  1.152503e-01  1.027053e+01
  5    2  odd        200  1.470584e-03  1.747967e-03  1.293355e+01
  0    0  even    979325  1.091822e+01  2.501167e+02  1.091822e+01
  1    0  odd       1043  1.243990e-02  8.455843e-04  1.088928e+01
  2    1  even     27316  1.702515e-01  5.742537e-01  1.102328e+01
  3    1  odd        992  1.249609e-04  1.479579e-03  1.075839e+01
  4    2  even     10031  9.792676e-02  1.664477e-01  1.114973e+01
  5    2  odd        691  -1.385723e-04  1.542367e-03  1.138030e+01
  2    1  even      4479  1.670154e-01  5.222170e-01  1.101082e+01
  4    2  even      1925  9.660283e-02  1.558373e-01  1.123350e+01
  0    0  even       214  1.404918e+01  3.237091e+02  1.404918e+01
  1    0  odd         32  7.784593e-03  5.379674e-04  8.394210e+00
  2    1  even       961  1.608480e-01  5.024118e-01  1.083857e+01
  3    1  odd          6  -4.226171e-03  2.198632e-03  1.021227e+01
  4    2  even       386  9.410830e-02  1.143310e-01  1.138426e+01
  6    3  even      4518  5.726708e-02  4.750795e-02  1.121912e+01
  7    3  odd        315  4.909164e-03  1.641012e-03  1.358193e+01
  0    0  even      5773  1.082920e+01  2.411603e+02  1.082920e+01
  1    0  odd          2  4.804336e-02  2.308164e-03  2.014277e+01
  2    1  even       138  2.511473e-01  1.336419e+00  1.263135e+01
  3    1  odd          8  -8.073750e-03  3.837930e-04  3.677126e+00
  4    2  even        14  7.218715e-02  1.877036e-02  7.122140e+00
  6    3  even       284  3.914460e-02  4.026635e-02  9.464193e+00
  7    3  odd        317  1.187245e-03  1.760908e-03  1.158568e+01
  1    0  odd          3  2.641659e-03  1.395672e-05  7.117045e+00
  2    1  even        98  3.342696e-01  1.974629e+00  1.117299e+01
  7    3  odd         12  -1.842569e-02  9.438361e-04  1.090662e+01
  0    0  even     29735  1.102324e+01  2.528734e+02  1.102324e+01
  1    0  odd         38  8.938708e-03  6.791648e-04  1.028941e+01
  2    1  even      1130  1.460998e-01  6.922769e-01  1.092590e+01
  3    1  odd         34  1.760535e-03  9.427773e-04  8.628119e+00
  4    2  even       374  9.521811e-02  2.208974e-01  1.062590e+01
  5    2  odd         14  2.590288e-02  2.254598e-03  1.431084e+01
  6    3  even       124  5.945316e-02  3.346082e-02  1.063123e+01
  7    3  odd         18  7.725804e-03  1.270353e-03  1.119081e+01
  8    4  even      1775  2.893775e-02  1.771400e-02  1.082178e+01
  9    4  odd        239  1.979817e-03  1.112970e-03  9.669554e+00
  0    0  even      9025  1.094020e+01  2.503998e+02  1.094020e+01
  1    0  odd          8  1.669906e-02  7.347286e-04  1.949461e+01
  2    1  even       420  1.493347e-01  4.309275e-01  1.127049e+01
  3    1  odd          4  2.878247e-02  1.308938e-03  1.874104e+01
  4    2  even       181  7.587783e-02  1.021748e-01  1.229830e+01
  5    2  odd         14  4.826623e-03  2.405413e-03  1.351437e+01
  6    3  even        25  1.070361e-01  7.440912e-02  1.261078e+01
  7    3  odd          4  -3.683264e-02  2.395290e-03  1.983805e+01
  8    4  even       380  3.347971e-02  1.262583e-02  1.115740e+01
  9    4  odd        143  1.980381e-03  1.398188e-03  1.143326e+01
  3    1  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  5    2  odd          3  2.522882e-02  6.862735e-04  2.727516e+01
  6    3  even         7  1.188616e-01  1.009243e-01  8.203683e+00
  7    3  odd          2  0.000000e+00  0.000000e+00  0.000000e+00
  9    4  odd         18  9.120416e-03  6.367202e-04  9.292584e+00
  0    0  even     26718  1.105003e+01  2.582529e+02  1.105003e+01
  1    0  odd         34  1.858148e-02  9.723177e-04  8.848928e+00
  2    1  even       852  1.275513e-01  3.322547e-01  1.038841e+01
  3    1  odd         32  -7.206051e-03  1.151825e-03  1.057314e+01
  4    2  even       307  1.283842e-01  1.882509e-01  1.195660e+01
  5    2  odd         24  -2.096757e-03  8.759150e-04  1.000236e+01
  6    3  even       135  7.265625e-02  5.810872e-02  1.263102e+01
  7    3  odd         17  2.121481e-02  9.850166e-04  1.189681e+01
  9    4  odd          7  -9.715457e-03  1.256604e-03  9.995521e+00
 10    5  even       777  2.157612e-02  5.356775e-03  1.199266e+01
 11    5  odd        147  -4.653364e-03  1.845366e-03  1.274903e+01
  0    0  even     13442  1.093529e+01  2.499649e+02  1.093529e+01
  1    0  odd         20  1.038847e-02  6.350857e-04  7.507266e+00
  2    1  even       260  2.364305e-01  8.642102e-01  1.344371e+01
  3    1  odd         13  -1.576287e-02  9.020402e-04  1.229412e+01
  4    2  even       191  1.416105e-01  4.044659e-01  1.136026e+01
  5    2  odd          6  2.777130e-03  9.124725e-04  1.355714e+01
  6    3  even        80  6.688538e-02  3.034334e-02  1.166810e+01
  7    3  odd          6  3.778637e-03  1.270417e-04  5.003427e+00
  8    4  even        27  6.165907e-02  2.421665e-02  8.919054e+00
  9    4  odd          5  2.977092e-02  1.353155e-03  7.816966e+00
 10    5  even        94  9.486422e-03  6.339050e-03  1.245246e+01
 11    5  odd        215  2.511129e-03  1.214233e-03  9.909399e+00
  2    1  even        31  1.093159e-01  2.337556e-01  1.388911e+01
  4    2  even       127  8.285691e-02  1.010872e-01  1.136222e+01
  8    4  even         4  4.458618e-02  1.656606e-02  9.941406e+00
  9    4  odd          2  0.000000e+00  0.000000e+00  0.000000e+00
 10    5  even         9  3.302680e-02  7.155449e-03  1.269737e+01
  0    0  even     26450  1.114051e+01  2.579803e+02  1.114051e+01
  1    0  odd         32  1.672401e-02  8.608696e-04  1.124197e+01
  2    1  even       921  1.766744e-01  6.286665e-01  1.129722e+01
  3    1  odd         31  -1.202957e-02  1.170103e-03  7.621184e+00
  4    2  even       330  1.253847e-01  2.434024e-01  1.111959e+01
  5    2  odd         23  9.262530e-03  7.657020e-04  8.138160e+00
  6    3  even       114  7.509573e-02  3.919253e-02  1.268439e+01
  7    3  odd         15  -3.564304e-03  1.339135e-03  6.492807e+00
  8    4  even        57  2.816184e-02  1.551156e-02  9.256281e+00
  9    4  odd          9  -9.926380e-03  2.553366e-04  7.854387e+00
 10    5  even        24  1.733907e-02  4.264227e-03  1.707471e+01
 12    6  even       326  1.249252e-02  1.451976e-03  1.344020e+01
 13    6  odd        120  1.551914e-03  1.997233e-03  1.137882e+01
  0    0  even     22515  1.104947e+01  2.538576e+02  1.104947e+01
  1    0  odd         30  1.638288e-02  1.362097e-03  1.135583e+01
  2    1  even       794  2.260996e-01  9.509866e-01  1.088000e+01
