# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  1.090501e+01  2.494397e+02  1.090501e+01
  1    0  odd      20000  1.485477e-02  9.648960e-04  1.105734e+01
  2    1  even     20000  1.773774e-01  6.289297e-01  1.107574e+01
  3    1  odd      20000  1.528017e-04  1.532526e-03  1.123268e+01
  4    2  even     20000  9.890188e-02  1.561370e-01  1.119241e+01
  5    2  odd      20000  1.815571e-04  1.483260e-03  1.131374e+01
  6    3  even     20000  6.120778e-02  5.738965e-02  1.136942e+01
  7    3  odd      20000  4.649893e-04  1.532304e-03  1.124660e+01
  8    4  even     20000  2.903871e-02  1.441141e-02  1.127664e+01
  9    4  odd      20000  -1.056729e-04  1.501110e-03  1.121418e+01
 10    5  even     20000  1.605112e-02  4.997718e-03  1.161440e+01
 11    5  odd      20000  3.330758e-04  1.444259e-03  1.128888e+01
 12    6  even     20000  7.882837e-03  2.308531e-03  1.121900e+01
 13    6  odd      20000  -1.171768e-04  1.307323e-03  1.141376e+01
 14    7  even     20000  3.379633e-03  1.266330e-03  1.145501e+01
 15    7  odd      20000  -6.717833e-05  1.062587e-03  1.110119e+01
 16    8  even     20000  1.762640e-03  9.297171e-04  1.130364e+01
 17    8  odd      20000  -2.839094e-05  9.096177e-04  1.134377e+01
 18    9  even     20000  1.132489e-03  8.530846e-04  1.136174e+01
 19    9  odd      20000  4.084792e-04  8.106857e-04  1.115632e+01
 20   10  even     20000  8.501099e-04  7.972756e-04  1.142827e+01
 21   10  odd      20000  -6.841643e-05  8.268780e-04  1.147504e+01
  0    0  even       200  1.110801e+01  2.594867e+02  1.110801e+01
  1    0  odd        200  9.872293e-03  8.419944e-04  9.997187e+00
  2    1  even       200  1.373511e-01  7.461205e-01  1.000643e+01
  3    1  odd        200  -1.287626e-03  1.180103e-03  9.686655e+00
  4    2  even       200  6.896484e-02  1.060390e-01  1.075177e+01
  5    2  odd        200  -1.718964e-03  1.252885e-03  1.166818e+01
  0    0  even    3946610  1.093718e+01  2.501867e+02  1.093718e+01
  1    0  odd       4828  1.485407e-02  9.676913e-04  1.103637e+01
  2    1  even    149451  1.712360e-01  5.736679e-01  1.107863e+01
  3    1  odd       4009  -1.394331e-04  1.549721e-03  1.160288e+01
  4    2  even     51004  1.045258e-01  1.792680e-01  1.119139e+01
  5    2  odd       2867  -3.255053e-04  1.434816e-03  1.089892e+01
  1    0  odd        230  1.289503e-02  8.886571e-04  1.008766e+01
  3    1  odd        479  -3.664098e-04  1.481361e-03  1.244389e+01
  5    2  odd        128  -1.042956e-03  1.254874e-03  1.245009e+01
  0    0  even     36007  1.104735e+01  2.540437e+02  1.104735e+01
  1    0  odd        261  1.258581e-02  7.920116e-04  1.112552e+01
  3    1  odd        232  1.296492e-03  1.629739e-03  1.220228e+01
  4    2  even      2061  1.017063e-01  1.830434e-01  1.143373e+01
  5    2  odd        156  1.232996e-03  1.473420e-03  1.058007e+01
  6    3  even     25774  5.993366e-02  5.170549e-02  1.140684e+01
  7    3  odd       1622  -1.369053e-03  1.368359e-03  1.119193e+01
  7    3  odd        691  1.116680e-03  1.623408e-03  1.111505e+01
  7    3  odd         65  -2.837716e-03  8.805663e-04  1.291504e+01
  0    0  even    135881  1.089962e+01  2.476321e+02  1.089962e+01
  1    0  odd        164  1.304257e-02  9.505588e-04  1.207379e+01
  3    1  odd        176  -6.248308e-04  1.039703e-03  9.318384e+00
  4    2  even      1838  1.148266e-01  1.796302e-01  1.127898e+01
  5    2  odd        117  -2.485658e-03  1.202425e-03  1.097665e+01
  7    3  odd         84  -1.672636e-03  1.200961e-03  1.249212e+01
  8    4  even     10129  2.989839e-02  1.494419e-02  1.151983e+01
  9    4  odd       1192  -5.008515e-04  1.474952e-03  1.053189e+01
  9    4  odd        570  2.579016e-04  1.404467e-03  1.042721e+01
  0    0  even    128735  1.091155e+01  2.486145e+02  1.091155e+01
  1    0  odd        179  1.599615e-02  8.624290e-04  1.184259e+01
  3    1  odd        131  5.590835e-03  1.575321e-03  1.346792e+01
  4    2  even      1735  1.177670e-01  2.035519e-01  1.120296e+01
  5    2  odd        100  -4.067283e-03  1.614148e-03  9.994079e+00
  7    3  odd         71  -1.442057e-03  1.010052e-03  1.033698e+01
  9    4  odd         48  -1.485933e-02  1.998383e-03  9.565201e+00
 10    5  even      3972  1.676288e-02  4.945418e-03  1.182727e+01
 11    5  odd        876  -1.123805e-04  1.460365e-03  1.145601e+01
  0    0  even      4475  1.085948e+01  2.530534e+02  1.085948e+01
  3    1  odd         10  -1.395870e-02  9.180941e-04  5.119475e+00
  4    2  even       184  6.074657e-02  9.669092e-02  1.086627e+01
  5    2  odd         12  -9.210743e-04  1.285698e-04  4.916936e+00
  9    4  odd         14  -1.928007e-02  1.725643e-03  8.897139e+00
 11    5  odd        409  3.505775e-03  1.523275e-03  1.087384e+01
  0    0  even    144501  1.091228e+01  2.491223e+02  1.091228e+01
  1    0  odd        197  1.386720e-02  8.239345e-04  1.208380e+01
  3    1  odd        177  -5.131077e-03  1.837825e-03  1.126256e+01
  4    2  even      1894  1.061256e-01  1.975118e-01  1.113545e+01
  5    2  odd        116  5.778311e-04  1.367341e-03  1.276046e+01
  7    3  odd         78  -1.140886e-03  9.796139e-04  8.043046e+00
  9    4  odd         65  -3.417855e-03  1.983642e-03  1.266943e+01
 11    5  odd         54  1.649290e-03  1.858271e-03  9.818228e+00
 12    6  even      1673  1.009163e-02  2.242955e-03  1.205883e+01
 13    6  odd        648  1.139632e-03  1.358814e-03  1.028858e+01
  0    0  even     24059  1.115800e+01  2.540858e+02  1.115800e+01
  1    0  odd         21  2.746717e-02  1.665505e-03  1.027300e+01
  2    1  even        93  9.779932e-02  2.867699e-01  9.472119e+00
  3    1  odd         50  -3.641860e-03  2.200950e-03  1.363664e+01
  4    2  even       421  1.039369e-01  1.626561e-01  1.165891e+01
  5    2  odd         19  -1.563987e-02  1.780381e-03  1.089056e+01
  7    3  odd          3  -2.063494e-02  2.818188e-04  1.867207e+01
  9    4  odd         22  -7.417625e-03  8.035982e-04  9.704546e+00
 11    5  odd         14  7.775702e-05  8.286391e-04  8.680296e+00
 13    6  odd        263  1.073971e-04  1.301482e-03  1.194243e+01
  0    0  even    161415  1.094908e+01  2.495560e+02  1.094908e+01
  1    0  odd        232  1.441682e-02  7.602939e-04  1.089590e+01
  2    1  even      5437  1.750601e-01  6.360337e-01  1.111464e+01
  3    1  odd        211  -1.193982e-03  1.267966e-03  1.032010e+01
  4    2  even      2143  8.350230e-02  1.396736e-01  1.050519e+01
  5    2  odd        139  2.270856e-03  1.438616e-03  1.000601e+01
  7    3  odd         94  5.944196e-03  1.440878e-03  1.173755e+01
  9    4  odd         65  7.484849e-03  1.649978e-03  1.408399e+01
 11    5  odd         46  -8.757989e-03  1.178097e-03  8.282687e+00
 12    6  even        43  2.765035e-03  1.471743e-03  6.842138e+00
 13    6  odd         28  1.037198e-02  5.708613e-04  1.154952e+01
 14    7  even       830  5.013707e-03  1.431080e-03  1.108620e+01
 15    7  odd        455  1.107879e-03  9.088308e-04  1.146079e+01
  0    0  even     28417  1.094533e+01  2.522358e+02  1.094533e+01
  1    0  odd         16  1.367866e-02  5.858982e-04  6.114924e+00
  2    1  even      1265  1.837108e-01  5.554202e-01  1.111084e+01
  3    1  odd         17  -1.255940e-03  7.228353e-04  1.310353e+01
  4    2  even       144  8.835602e-02  1.368971e-01  1.230051e+01
  5    2  odd         26  -4.204494e-03  1.696215e-03  1.332342e+01
  7    3  odd         20  3.077460e-03  8.330415e-04  8.932634e+00
  9    4  odd         17  1.252739e-02  2.413028e-03  1.388547e+01
 11    5  odd          5  1.881674e-02  9.775852e-04  1.070077e+01
 12    6  even         3  0.000000e+00  0.000000e+00  3.903646e+00
 14    7  even       145  5.739830e-03  9.907228e-04  9.968201e+00
 15    7  odd         95  1.453753e-03  1.264785e-03  1.253286e+01
  0    0  even      1445  1.231856e+01  3.041815e+02  1.231856e+01
  2    1  even        23  2.197000e-01  1.835891e-01  1.310156e+01
  5    2  odd          4  0.000000e+00  0.000000e+00  0.000000e+00
  9    4  odd          7  -5.851463e-03  2.268030e-04  7.914541e+00
 11    5  odd          1  -1.849161e-02  0.000000e+00  4.202023e+01
 15    7  odd         18  -4.829736e-03  7.499900e-04  1.061895e+01
  0    0  even    186565  1.090415e+01  2.488451e+02  1.090415e+01
  1    0  odd        254  1.713495e-02  9.873766e-04  1.131158e+01
  2    1  even      6316  1.824055e-01  6.625416e-01  1.126203e+01
  3    1  odd        227  -2.326046e-03  1.195892e-03  9.771721e+00
  4    2  even      2491  9.823465e-02  1.668362e-01  1.122902e+01
  5    2  odd        154  -2.008672e-03  1.487611e-03  1.071190e+01
  7    3  odd        107  -3.386041e-03  2.308051e-03  1.349999e+01
  9    4  odd         78  -2.691344e-03  1.827667e-03  1.255321e+01
 11    5  odd         56  4.847491e-03  1.499340e-03  1.122433e+01
 12    6  even        69  9.477256e-03  3.136963e-03  1.354203e+01
 13    6  odd         37  8.967087e-03  1.298736e-03  1.091353e+01
 14    7  even        17  3.496955e-03  6.114349e-04  8.119141e+00
 15    7  odd         21  1.459409e-03  9.869274e-05  7.006932e+00
 16    8  even       480  1.733907e-03  9.541439e-04  1.114403e+01
 17    8  odd        285  -4.375009e-04  7.220262e-04  9.953316e+00
  0    0  even     44486  1.093052e+01  2.492135e+02  1.093052e+01
  1    0  odd         69  1.508257e-02  1.050174e-03  9.401580e+00
  2    1  even      2006  1.940532e-01  8.235340e-01  1.072431e+01
  3    1  odd         31  1.436525e-02  9.378478e-04  6.901207e+00
  4    2  even       518  1.195858e-01  1.844061e-01  1.259083e+01
  5    2  odd         42  2.237320e-03  2.537787e-03  1.652867e+01
  7    3  odd         62  -1.147321e-02  2.160673e-03  1.381685e+01
  9    4  odd         28  -1.603605e-03  1.839008e-03  9.677776e+00
 11    5  odd         14  -2.566805e-02  1.744599e-03  1.594080e+01
 12    6  even        31  3.835370e-03  2.132960e-04  1.294796e+01
 13    6  odd          9  -2.230895e-02  1.103888e-03  5.829160e+00
 14    7  even         4  0.000000e+00  0.000000e+00  9.869141e+00
 16    8  even       112  1.061576e-03  1.324158e-03  1.040200e+01
 17    8  odd         79  4.263713e-03  6.377685e-04  1.378326e+01
  0    0  even      2819  1.064555e+01  2.388739e+02  1.064555e+01
  1    0  odd          8  2.072505e-02  2.135663e-03  9.495862e+00
  2    1  even       522  1.605760e-01  4.201646e-01  1.154390e+01
  4    2  even        48  2.056046e-01  3.748330e-01  1.250116e+01
  5    2  odd         19  1.001126e-02  2.007014e-03  1.127997e+01
  7    3  odd         20  8.501932e-03  2.073599e-03  1.802119e+01
  9    4  odd          4  -2.194065e-02  1.406340e-03  1.237281e+01
 11    5  odd          6  -1.337279e-02  1.767915e-03  1.594297e+01
 13    6  odd          2  -5.842130e-03  3.413048e-05  2.583762e+01
 16    8  even        21  8.492606e-03  7.693265e-04  9.304688e+00
  0    0  even       200  1.136493e+01  2.691287e+02  1.136493e+01
  1    0  odd        200  1.529263e-02  9.320331e-04  1.211463e+01
  2    1  even       200  2.039288e-01  4.463542e-01  1.054445e+01
  3    1  odd        200  4.999739e-03  1.168751e-03  1.100223e+01
  4    2  even       200  1.296069e-01  1.857012e-01  1.331306e+01
  5    2  odd        200  1.362342e-03  1.544739e-03  1.220917e+01
  0    0  even    1007872  1.091519e+01  2.494816e+02  1.091519e+01
  1    0  odd       1127  1.427312e-02  8.303495e-04  1.075591e+01
  2    1  even     28830  1.822526e-01  6.543466e-01  1.116017e+01
  3    1  odd        851  1.400966e-03  1.427226e-03  1.115855e+01
  4    2  even     13041  1.112289e-01  2.028612e-01  1.129943e+01
  5    2  odd        654  -1.159870e-03  1.330550e-03  1.118338e+01
  2    1  even      5364  1.581319e-01  4.886957e-01  1.067199e+01
  3    1  odd         68  1.056900e-03  1.559593e-03  8.080830e+00
  4    2  even       307  1.221860e-01  2.338003e-01  1.103431e+01
  2    1  even      1102  1.992829e-01  6.648524e-01  1.130627e+01
  3    1  odd         63  -1.308847e-03  1.525868e-03  1.092060e+01
  4    2  even       741  1.063051e-01  1.384277e-01  1.141765e+01
  6    3  even      6914  5.481679e-02  4.356979e-02  1.098934e+01
  7    3  odd        404  -2.037758e-03  1.613894e-03  1.147733e+01
  7    3  odd        226  4.599911e-03  1.295169e-03  1.106391e+01
  0    0  even     20811  1.087024e+01  2.533897e+02  1.087024e+01
  1    0  odd         13  2.453416e-02  7.328602e-04  1.075788e+01
  2    1  even      1022  1.881797e-01  6.046787e-01  1.152037e+01
  3    1  odd         37  -5.035589e-03  4.871488e-04  7.985964e+00
  4    2  even       275  1.353387e-01  2.669660e-01  1.190171e+01
  5    2  odd          3  -9.015997e-03  4.686834e-04  4.911008e+00
  7    3  odd          3  1.008281e-02  1.032643e-04  1.205388e+01
  8    4  even      2412  3.095727e-02  1.325214e-02  1.112034e+01
  9    4  odd        307  -6.028208e-06  1.558935e-03  1.121129e+01
  4    2  even         7  2.038225e-01  1.078980e-01  5.366071e+00
  9    4  odd        147  -1.475553e-03  1.423705e-03  1.038827e+01
  0    0  even     31874  1.096131e+01  2.504513e+02  1.096131e+01
  1    0  odd         41  1.065992e-02  5.960201e-04  9.785413e+00
  2    1  even      1105  1.597334e-01  5.129106e-01  1.101080e+01
  3    1  odd         25  -8.676831e-03  1.885383e-03  9.094454e+00
  4    2  even       488  1.054983e-01  1.765923e-01  1.091944e+01
  5    2  odd         25  5.578837e-03  1.324900e-03  5.841161e+00
  7    3  odd         18  -1.714780e-02  1.788083e-03  1.133763e+01
  9    4  odd          9  4.131826e-03  2.312590e-04  6.945332e+00
 10    5  even       936  1.752961e-02  4.480352e-03  1.039007e+01
 11    5  odd        224  9.300040e-04  1.504413e-03  1.254370e+01
  0    0  even      1332  1.075589e+01  2.481699e+02  1.075589e+01
  3    1  odd          7  -9.685391e-03  2.063269e-03  6.508219e+00
  5    2  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  7    3  odd          5  -2.839203e-02  2.337906e-03  1.109486e+01
 11    5  odd        102  -4.091910e-03  1.345366e-03  1.129802e+01
  0    0  even     34663  1.101918e+01  2.501998e+02  1.101918e+01
  1    0  odd         41  7.546712e-03  6.337980e-04  9.061627e+00
  2    1  even      1171  1.631168e-01  3.855278e-01  1.021414e+01
  3    1  odd         43  4.086383e-03  2.442194e-03  1.496803e+01
  4    2  even       480  1.148104e-01  2.221451e-01  1.076876e+01
  5    2  odd         28  6.585745e-03  5.937984e-04  8.781538e+00
  7    3  odd         24  -8.853308e-03  9.104012e-04  7.848730e+00
  9    4  odd         11  6.176624e-03  3.115259e-03  2.128828e+01
 11    5  odd          6  -8.974870e-04  4.183305e-04  6.456006e+00
 12    6  even       398  1.329370e-02  2.762436e-03  1.371556e+01
 13    6  odd        161  -2.787616e-03  1.414583e-03  1.106515e+01
  0    0  even      9533  1.110219e+01  2.535450e+02  1.110219e+01
  1    0  odd          9  1.851984e-02  2.505729e-04  1.179659e+01
  2    1  even       109  1.008827e-01  4.483167e-01  9.414322e+00
  3    1  odd         28  -8.452686e-03  2.102581e-03  1.064772e+01
  4    2  even       161  8.455378e-02  1.261892e-01  1.043528e+01
  5    2  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
  7    3  odd          1  -2.889859e-02  0.000000e+00  1.939294e+01
  9    4  odd         11  -5.081433e-03  1.349374e-03  7.761410e+00
 11    5  odd          1  0.000000e+00  0.000000e+00  0.000000e+00
 12    6  even        63  8.492606e-03  2.115648e-03  1.057782e+01
 13    6  odd         72  1.777838e-03  1.501235e-03  1.299179e+01
  3    1  odd          7  2.226435e-02  1.233423e-03  2.026677e+01
 13    6  odd          3  -1.890044e-02  2.676601e-04  4.653984e+00
  0    0  even     42688  1.085684e+01  2.473491e+02  1.085684e+01
  1    0  odd         51  1.831715e-02  1.447829e-03  1.157995e+01
  2    1  even      1483  1.880115e-01  6.441505e-01  1.043472e+01
  3    1  odd         52  1.086824e-02  1.369222e-03  1.357336e+01
  4    2  even       573  1.225271e-01  1.365523e-01  1.141456e+01
  5    2  odd         34  -8.028287e-03  2.275738e-03  1.459105e+01
  7    3  odd         26  1.450902e-03  1.975098e-03  1.167240e+01
  9    4  odd         18  -1.447268e-02  4.780098e-04  7.261329e+00
 11    5  odd         12  -9.065583e-03  1.253400e-03  1.316584e+01
 12    6  even        10  1.783447e-02  2.862616e-03  9.578125e+00
 13    6  odd          8  1.391225e-02  5.829305e-04  1.413746e+01
 14    7  even       228  2.085903e-03  1.328684e-03  1.335175e+01
 15    7  odd        118  -2.220305e-03  8.059428e-04  9.335103e+00
  0    0  even      1833  1.061951e+01  2.360320e+02  1.061951e+01
  1    0  odd         22  1.166843e-02  8.293538e-04  9.361822e+00
  2    1  even       105  7.984677e-02  6.713887e-01  7.712706e+00
  3    1  odd          3  1.235194e-02  3.051406e-04  1.464970e+01
  5    2  odd         14  -8.247926e-03  7.719836e-04  7.827073e+00
