# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  6.201088e+00  7.642582e+01  6.201088e+00
  1    0  odd      20000  7.516048e-03  5.271164e-04  6.120375e+00
  2    1  even     20000  2.969888e-02  7.432995e-01  6.273975e+00
  3    1  odd      20000  2.811178e-03  2.911012e-03  6.132108e+00
  4    2  even     20000  4.458212e-02  1.261110e-01  6.344791e+00
  5    2  odd      20000  1.403698e-03  2.766351e-03  6.276798e+00
  6    3  even     20000  2.560853e-02  2.380721e-02  6.174320e+00
  7    3  odd      20000  9.368709e-04  2.622390e-03  6.200186e+00
  8    4  even     20000  1.524302e-02  8.259967e-03  6.349129e+00
  9    4  odd      20000  5.495318e-04  3.458808e-03  6.263070e+00
 10    5  even     20000  8.055353e-03  6.793314e-03  6.342307e+00
 11    5  odd      20000  -5.547702e-05  5.668490e-03  6.223320e+00
 12    6  even     20000  3.816705e-03  1.059750e-02  6.229975e+00
 13    6  odd      20000  3.979514e-04  1.035539e-02  6.183960e+00
 14    7  even     20000  1.019739e-03  2.203252e-02  6.193295e+00
 15    7  odd      20000  4.512015e-04  2.319174e-02  6.280726e+00
 16    8  even     20000  1.072681e-02  1.415949e-01  6.337770e+00
 17    8  odd      20000  -1.998041e-03  1.456495e-01  6.276199e+00
 18    9  even     20000  -6.158140e-02  1.761539e+00  6.314803e+00
 19    9  odd      20000  7.167187e-02  1.730667e+00  6.248807e+00
 20   10  even     20000  1.597908e+00  1.310142e+01  7.768178e+00
 21   10  odd      20000  -1.604295e+00  1.324672e+01  6.313158e+00
