# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  1.774314e+01  1.866470e+02  1.774314e+01
  1    0  odd      20000  3.141727e-03  9.891640e-04  3.141727e-03
  2    1  even     20000  -1.160368e-01  1.389803e+00  1.743003e+01
  3    1  odd      20000  1.344298e-03  2.112262e-03  1.739970e+01
  4    2  even     20000  -1.380607e-01  4.939571e-01  1.739713e+01
  5    2  odd      20000  2.180598e-04  2.381270e-03  1.746662e+01
  6    3  even     20000  -9.001525e-02  1.490645e-01  1.731150e+01
  7    3  odd      20000  -3.125044e-05  2.454454e-03  1.723313e+01
  8    4  even     20000  -5.254005e-02  4.192151e-02  1.725074e+01
  9    4  odd      20000  3.255687e-04  2.514661e-03  1.714514e+01
 10    5  even     20000  -2.801637e-02  1.053900e-02  1.725591e+01
 11    5  odd      20000  1.500130e-03  2.072167e-02  1.737291e+01
 12    6  even     20000  -1.392549e-02  2.603841e-03  1.717270e+01
 13    6  odd      20000  -7.874057e-04  5.238949e-03  1.706675e+01
 14    7  even     20000  -6.887332e-03  6.574217e-04  1.733979e+01
 15    7  odd      20000  3.692872e-04  1.340523e-03  1.722278e+01
 16    8  even     20000  -3.617799e-03  1.682134e-04  1.727525e+01
 17    8  odd      20000  1.988654e-04  3.278773e-04  1.724391e+01
 18    9  even     20000  -1.672698e-03  4.153019e-05  1.724971e+01
 19    9  odd      20000  6.429755e-05  8.343206e-05  1.714111e+01
 20   10  even     20000  -8.270689e-04  1.010434e-05  1.729060e+01
 21   10  odd      20000  1.147543e-05  2.150356e-05  1.731567e+01
  0    0  even       200  1.752648e+01  1.567054e+02  1.752648e+01
  1    0  odd        200  1.674055e-03  9.078371e-04  1.674055e-03
  2    1  even       200  -4.845398e-02  7.200025e-01  1.595423e+01
  3    1  odd        200  -2.750179e-03  2.007177e-03  1.722572e+01
  4    2  even       200  -1.308032e-01  4.653943e-01  1.783224e+01
  5    2  odd        200  -4.134449e-03  2.745663e-03  1.528117e+01
  0    0  even    10256730  1.766822e+01  1.845353e+02  1.766822e+01
  1    0  odd      17257  2.658245e-03  9.914617e-04  2.658245e-03
  2    1  even    491418  -1.120761e-01  1.397513e+00  1.754217e+01
  3    1  odd      18155  1.268351e-03  2.168162e-03  1.762786e+01
  4    2  even    279284  -1.351282e-01  4.953514e-01  1.746767e+01
  5    2  odd      14980  8.987317e-04  2.340806e-03  1.721744e+01
  0    0  even    2014806  1.765558e+01  1.841267e+02  1.765558e+01
  1    0  odd       2647  2.604753e-03  9.698703e-04  2.604753e-03
  2    1  even    263453  -1.082812e-01  1.397066e+00  1.753835e+01
  3    1  odd       2670  1.531037e-03  2.178409e-03  1.785689e+01
  4    2  even     38412  -1.329337e-01  4.939629e-01  1.746014e+01
  5    2  odd        292  -3.604909e-03  2.108989e-03  1.588673e+01
  0    0  even    807955  1.768924e+01  1.847731e+02  1.768924e+01
  1    0  odd       1299  4.957008e-03  1.011433e-03  4.957008e-03
  2    1  even     49842  -1.162116e-01  1.428790e+00  1.760001e+01
  3    1  odd       1396  3.782042e-03  2.101691e-03  1.729614e+01
  4    2  even     20935  -1.351256e-01  5.041960e-01  1.748264e+01
  5    2  odd       1007  8.242773e-04  2.382962e-03  1.747781e+01
  6    3  even    123021  -9.215685e-02  1.477191e-01  1.728450e+01
  7    3  odd       5983  -4.381578e-04  2.493719e-03  1.715698e+01
  0    0  even    122495  1.764949e+01  1.841390e+02  1.764949e+01
  1    0  odd        218  2.832418e-04  9.704378e-04  2.832418e-04
  2    1  even      8066  -1.210777e-01  1.411199e+00  1.743492e+01
