# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  5.681042e+00  6.114456e+01  5.681042e+00
  1    0  odd      20000  1.326751e-03  2.863442e-04  1.326751e-03
  2    1  even     20000  4.564857e-02  2.500468e-01  5.613158e+00
  3    1  odd      20000  -1.503530e-04  2.378601e-03  5.624377e+00
  4    2  even     20000  4.280751e-02  3.874020e-02  5.714450e+00
  5    2  odd      20000  4.963016e-04  1.844453e-03  5.761759e+00
  6    3  even     20000  2.707361e-02  7.554476e-03  5.743035e+00
  7    3  odd      20000  1.742416e-05  1.201446e-03  5.713529e+00
  8    4  even     20000  1.538819e-02  2.331251e-03  5.803531e+00
  9    4  odd      20000  8.306399e-05  1.036121e-03  5.739499e+00
 10    5  even     20000  7.811499e-03  1.265679e-03  5.765053e+00
 11    5  odd      20000  -9.633898e-05  9.369243e-04  5.743848e+00
 12    6  even     20000  3.724432e-03  9.652492e-04  5.759726e+00
 13    6  odd      20000  2.392885e-04  9.068184e-04  5.767413e+00
 14    7  even     20000  2.071771e-03  8.995522e-04  5.739418e+00
 15    7  odd      20000  -1.688693e-05  8.975645e-04  5.781547e+00
 16    8  even     20000  1.043317e-03  9.137116e-04  5.793090e+00
 17    8  odd      20000  -2.963946e-04  9.029628e-04  5.752872e+00
 18    9  even     20000  -3.180481e-03  8.582113e-04  5.770973e+00
 19    9  odd      20000  3.417414e-03  8.619178e-04  5.776458e+00
 20   10  even     20000  -9.660339e-04  5.745939e-04  5.758682e+00
 21   10  odd      20000  1.984901e-03  6.101725e-04  5.787292e+00
  0    0  even       200  6.640580e+00  7.314812e+01  6.640580e+00
  1    0  odd        200  5.170697e-04  3.220736e-04  5.170697e-04
  2    1  even       200  3.179749e-02  1.692979e-01  5.044061e+00
  3    1  odd        200  -2.393692e-03  1.672743e-03  5.528687e+00
  4    2  even       200  7.699341e-02  4.979578e-02  7.115233e+00
  5    2  odd        200  3.200884e-03  2.102463e-03  6.247119e+00
  0    0  even    4478081  5.622596e+00  5.962845e+01  5.622596e+00
  1    0  odd       6445  1.376068e-03  2.903582e-04  1.376068e-03
  2    1  even    152143  3.988812e-02  2.497557e-01  5.680953e+00
  3    1  odd      10508  3.850995e-04  2.422711e-03  5.666230e+00
  4    2  even     58222  4.113473e-02  3.891540e-02  5.714954e+00
  5    2  odd       8289  -3.193749e-04  1.785115e-03  5.758978e+00
  2    1  even     21021  4.316841e-02  2.367938e-01  5.518215e+00
  3    1  odd       1334  2.968061e-04  2.503361e-03  5.794510e+00
  4    2  even      6569  4.482578e-02  3.863281e-02  5.615420e+00
  2    1  even     12295  4.413635e-02  2.461543e-01  5.654252e+00
  3    1  odd        922  -3.064692e-03  2.594862e-03  5.780407e+00
  4    2  even      4609  4.067108e-02  3.502456e-02  5.565358e+00
  6    3  even     36900  2.654940e-02  7.392248e-03  5.684856e+00
  7    3  odd       4184  -5.727111e-05  1.267258e-03  5.667361e+00
  7    3  odd        437  -2.073400e-03  1.337220e-03  5.830689e+00
  2    1  even      7891  2.942796e-02  2.480333e-01  5.552499e+00
  3    1  odd        592  -2.235621e-03  2.556760e-03  5.487715e+00
  4    2  even      2959  4.211203e-02  3.935996e-02  5.909072e+00
  7    3  odd        285  2.822394e-03  9.993504e-04  5.348047e+00
  8    4  even     14421  1.490228e-02  2.219037e-03  5.681656e+00
  9    4  odd       2601  -2.947829e-04  1.033349e-03  5.894244e+00
