# l  k  parity   N   mean(Y)       var(Y)        mean(Pf)
  0    0  even     20000  1.774314e+01  1.866470e+02  1.774314e+01
  1    0  odd      20000  3.141727e-03  9.891640e-04  3.141727e-03
  2    1  even     20000  -1.159311e-01  1.390420e+00  1.743015e+01
  3    1  odd      20000  1.482721e-03  2.210032e-03  1.739956e+01
  4    2  even     20000  -1.381816e-01  4.943415e-01  1.739702e+01
  5    2  odd      20000  4.540675e-04  2.995873e-03  1.746646e+01
  6    3  even     20000  -8.992307e-02  1.519141e-01  1.731154e+01
  7    3  odd      20000  2.888352e-04  4.353440e-03  1.723279e+01
  8    4  even     20000  -5.102962e-02  4.698723e-02  1.725189e+01
  9    4  odd      20000  -2.061410e-04  7.403127e-03  1.714507e+01
 10    5  even     20000  -3.001845e-02  2.289323e-02  1.724930e+01
 11    5  odd      20000  1.919277e-04  1.255144e-02  1.723002e+01
 12    6  even     20000  -1.311430e-02  2.653098e-02  1.714950e+01
 13    6  odd      20000  -6.135596e-04  2.400902e-02  1.729454e+01
 14    7  even     20000  -7.585724e-03  4.714342e-02  1.719875e+01
 15    7  odd      20000  -1.822664e-03  4.650245e-02  1.723354e+01
 16    8  even     20000  2.517572e-03  9.225466e-02  1.735941e+01
 17    8  odd      20000  -9.477918e-04  9.215287e-02  1.718999e+01
 18    9  even     20000  1.586032e-03  1.848837e-01  1.721815e+01
 19    9  odd      20000  1.567932e-03  1.832199e-01  1.724019e+01
 20   10  even     20000  -1.167383e-02  3.680772e-01  1.721436e+01
 21   10  odd      20000  6.482060e-03  3.687096e-01  1.730658e+01
